tadig,country,network,access_fee_eur,data_per_mb,is_prohibited,no_roaming,data_not_launched,no_resell,comments
AFGTD,Afghanistan,Roshan,0.0,0.2,False,False,False,False,
AFGAR,Afghanistan,MTN,0.0,0.02,False,False,False,False,
AFGAW,Afghanistan,AFW,0.0,0.1,False,False,False,False,
AFGEA,Afghanistan,Etisalat,0.0,1.0,False,False,False,False,
ALBAM,Albania,AMC,0.0,0.06,False,False,False,False,
ALBEM,Albania,Eagle Mobile,0.0,0.06,False,False,False,False,
ALBVF,Albania,Vodafone Albania,0.0,0.006,False,False,False,False,
DZAWT,Algeria,Wataniya Telecom Ooredoo,0.0,0.2,False,False,False,False,
DZAA1,Algeria,ATM Mobilis,0.0,0.05,False,False,False,False,
DZAOT,Algeria,Djezzy,0.0,0.2,False,False,False,False,
ANDMA,Andorra,Mobiland,0.0,0.1,False,True,False,False,no permanent roaming
AGOAC,Angola,Africell Angola,0.0,0.0,False,False,False,False,
AGOUT,Angola,UNITEL,0.0,20.0,False,False,False,False,
AIACW,Anguilla,Cable & Wireless,0.0,0.1,False,False,False,False,
ATG03,Antigua and Barbuda,APUA,0.0,0.0,False,False,True,False,data not launched
ATGCW,Antigua and Barbuda,Cable & Wireless,0.0,0.1,False,False,False,False,
ARGTP,Argentina,Personal,0.0,0.05,False,False,False,False,
ARGTM,Argentina,TMA,0.13,0.05,False,False,False,False,Access fee
ARGCM,Argentina,Claro,0.0,0.5,False,True,False,True,"No resell on domestic market, no permanent roaming"
ARM01,Armenia,ArmenTel,0.0,0.06,False,False,False,False,
ARM05,Armenia,Vivacell,0.0,0.06,False,False,False,False,
ARMOR,Armenia,UCOM (Orange),0.0,0.1,False,False,False,False,
ABWSE,Aruba,Setar,0.0,0.1,False,False,False,False,
AUSVF,Australia,Vodafone,0.0,0.08,False,False,False,False,
AUSTA,Australia,Telstra MobileNet,0.5,0.005,False,False,False,False,Access fee
AUSOP,Australia,Optus,0.0,30.0,True,False,False,False,prohibited network
AUTMM,Austria,T-Mobile,0.0,30.0,True,False,False,False,prohibited network
AUTPT,Austria,A1,0.0,0.01,False,False,False,False,
AUTCA,Austria,Hutchison Drei Austria,0.17,0.006,False,False,False,False,Access fee
AZEAC,Azerbaijan,Azercell,0.0,0.2,False,False,False,False,
AZEAF,Azerbaijan,Azerfon LLC,0.0,0.05,False,False,False,False,
AZEBC,Azerbaijan,Bakcell GSM 2000,0.0,0.5,False,False,False,False,
BHSNC,Bahamas,NewCo,0.0,0.2,False,False,False,False,
BHSBH,Bahamas,BTC The Bahamas Telecom Company,0.0,0.2,False,False,False,False,
BHRBT,Bahrain,BHR Mobile Plus,0.0,0.1,False,False,False,False,
BHRMV,Bahrain,zain BH,0.0,0.06,False,False,False,False,
BHRST,Bahrain,VIVA Bahrain,0.0,0.1,False,False,False,False,
BGDBL,Bangladesh,Banglalink,0.045,0.02,False,False,False,False,Access fee
BGDAK,Bangladesh,Robi,0.0,0.12,False,False,False,False,
BGDGP,Bangladesh,GrameenPhone,0.0,0.09,False,False,False,False,
BGDWT,Bangladesh,Airtel (Bangladesh),0.0,0.12,False,False,False,False,
BRBCW,Barbados,Cable & Wireless,0.0,0.1,False,False,False,False,
BLR02,Belarus,MTS,0.0,0.1,False,False,False,False,
BLRBT,Belarus,BEST,0.0,0.1,False,False,False,False,
BLRMD,Belarus,VELCOM,0.0,0.06,False,False,False,False,
BELKO,Belgium,Base,0.0,0.01,False,False,False,False,
BELMO,Belgium,Mobistar,0.022,0.006,False,False,False,False,Access fee
BELTB,Belgium,Proximus,0.0,0.01,False,False,False,False,
BLZSC,Belize,Speednet,0.0,0.0,False,False,False,False,
BEN02,Benin,Etisalat Benin S.A,0.0,0.5,True,False,False,False,prohibited network
BENSP,Benin,MTN,0.0,0.02,False,False,False,False,
BMUBD,Bermuda,Bermuda Digital,0.0,1.0,False,False,False,False,
BTNTC,Bhutan,Tashi InfoComm Limited,0.0,10.0,False,False,False,False,
BOLTE,Bolivia,Telecel,0.06,0.012,False,False,False,False,Access fee
BOLNT,Bolivia,NuevaTel,0.0,0.2,False,False,False,False,
ANTCT,Bonaire,Digicel Curacao and Bonaire,0.05,0.1,False,False,False,False,Access fee
BIHER,Bosnia and Herzegovina,HT Eronet,0.0,0.1,False,False,False,False,
BIHMS,Bosnia and Herzegovina,m:tel,0.0,0.1,False,False,False,False,
BIHPT,Bosnia and Herzegovina,BIH,0.0,0.015,False,False,False,False,
BWAGA,Botswana,Mascom Wireless,0.0,0.0,False,False,False,False,
BWABC,Botswana,beMobile,0.0,0.45,False,False,False,False,
BWAVC,Botswana,Orange,0.0,30.0,False,False,False,False,
BRABT,Brazil,Oi,0.0,1.0,False,True,False,False,no permanent roaming
BRACL,Brazil,Claro,0.0,1.0,False,True,False,True,"No resell on domestic market, no permanent roaming"
BRACS,Brazil,Tim Brazil,0.258,1.0,False,False,False,False,Access fee
BRATM,Brazil,Oi,0.0,1.0,False,True,False,False,no permanent roaming
BRATC,Brazil,VIVO,0.0,1.0,False,True,False,False,no permanent roaming (permanent roaming restriction lifted in 2023)
BRASP,Brazil,Tim Brazil,0.0,1.0,False,False,False,False,Access fee
BRARN,Brazil,Tim Brazil,0.0,1.0,False,False,False,False,Access fee
BRAV3,Brazil,VIVO,0.0,1.0,False,True,False,False,no permanent roaming (permanent roaming restriction lifted in 2023)
BRAV2,Brazil,VIVO,0.13,1.0,False,True,False,False,no permanent roaming (permanent roaming restriction lifted in 2023)
BRAV1,Brazil,VIVO,0.0,1.0,False,True,False,False,no permanent roaming (permanent roaming restriction lifted in 2023)
VGBCW,British Virgin Islands,Cable & Wireless,0.0,0.1,False,False,False,False,
