tadig,country,network,access_fee_per_imsi,data_per_mb,is_prohibited,restrictions,original_comments
AFGTD,Afghanistan,Roshan,0,0.2,False,,
AFGAR,Afghanistan,MTN,0,0.02,False,,
AFGAW,Afghanistan,AFW,0,0.1,False,,
AFGEA,Afghanistan,Etisalat,0,1.0,False,,
ALBAM,Albania,AMC,0,0.06,False,,
ALBEM,Albania,Eagle Mobile,0,0.06,False,,
ALBVF,Albania,Vodafone Albania,0,0.006,False,,
DZAWT,Algeria,Wataniya Telecom Ooredoo,0,0.2,False,,
DZAA1,Algeria,ATM Mobilis,0,0.05,False,,
DZAOT,Algeria,Djezzy,0,0.2,False,,
ANDMA,Andorra,Mobiland,0,0.1,False,no permanent roaming,no permanent roaming
AGOAC,Angola,Africell Angola,0,0.0,False,,
AGOUT,Angola,UNITEL,0,20.0,False,,
AIACW,Anguilla,Cable & Wireless,0,0.1,False,,
ATG03,Antigua and Barbuda,APUA,0,0.0,False,data not launched,data not launched
ATGCW,Antigua and Barbuda,Cable & Wireless,0,0.1,False,,
ARGTP,Argentina,Personal,0,0.05,False,,
ARGTM,Argentina,TMA,0,0.05,False,Access fee,Access fee
ARGCM,Argentina,Claro,0,0.5,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
ARM01,Armenia,ArmenTel,0,0.06,False,,
ARM05,Armenia,Vivacell,0,0.06,False,,
ARMOR,Armenia,UCOM (Orange),0,0.1,False,,
ABWSE,Aruba,Setar,0,0.1,False,,
AUSVF,Australia,Vodafone,0,0.08,False,,
AUSTA,Australia,Telstra MobileNet,0,0.005,False,Access fee,Access fee
AUSOP,Australia,Optus,0,30.0,True,prohibited network,prohibited network
AUTMM,Austria,T-Mobile,0,30.0,True,prohibited network,prohibited network
AUTPT,Austria,A1,0,0.01,False,,
AUTCA,Austria,Hutchison Drei Austria,0,0.006,False,Access fee,Access fee
AZEAC,Azerbaijan,Azercell,0,0.2,False,,
AZEAF,Azerbaijan,Azerfon LLC,0,0.05,False,,
AZEBC,Azerbaijan,Bakcell GSM 2000,0,0.5,False,,
BHSNC,Bahamas,NewCo,0,0.2,False,,
BHSBH,Bahamas,BTC The Bahamas Telecom Company,0,0.2,False,,
BHRBT,Bahrain,BHR Mobile Plus,0,0.1,False,,
BHRMV,Bahrain,zain BH,0,0.06,False,,
BHRST,Bahrain,VIVA Bahrain,0,0.1,False,,
BGDBL,Bangladesh,Banglalink,0,0.02,False,Access fee,Access fee
BGDAK,Bangladesh,Robi,0,0.12,False,,
BGDGP,Bangladesh,GrameenPhone,0,0.09,False,,
BGDWT,Bangladesh,Airtel (Bangladesh),0,0.12,False,,
BRBCW,Barbados,Cable & Wireless,0,0.1,False,,
BLR02,Belarus,MTS,0,0.1,False,,
BLRBT,Belarus,BEST,0,0.1,False,,
BLRMD,Belarus,VELCOM,0,0.06,False,,
BELKO,Belgium,Base,0,0.01,False,,
BELMO,Belgium,Mobistar,0,0.006,False,Access fee,Access fee
BELTB,Belgium,Proximus,0,0.01,False,,
BLZSC,Belize,Speednet,0,0.0,False,,
BEN02,Benin,Etisalat Benin S.A,0,0.5,True,prohibited network,prohibited network
BENSP,Benin,MTN,0,0.02,False,,
BMUBD,Bermuda,Bermuda Digital,0,1.0,False,,
BTNTC,Bhutan,Tashi InfoComm Limited,0,10.0,False,,
BOLTE,Bolivia,Telecel,0,0.012,False,Access fee,Access fee
BOLNT,Bolivia,NuevaTel,0,0.2,False,,
ANTCT,Bonaire,Digicel Curacao and Bonaire,0,0.1,False,Access fee,Access fee
BIHER,Bosnia and Herzegovina,HT Eronet,0,0.1,False,,
BIHMS,Bosnia and Herzegovina,m:tel,0,0.1,False,,
BIHPT,Bosnia and Herzegovina,BIH,0,0.015,False,,
BWAGA,Botswana,Mascom Wireless,0,0.0,False,,
BWABC,Botswana,beMobile,0,0.45,False,,
BWAVC,Botswana,Orange,0,30.0,False,,
BRABT,Brazil,Oi,0,1.0,False,no permanent roaming,no permanent roaming
BRACL,Brazil,Claro,0,1.0,False,"no permanent roaming, no resell on domestic market","No resell on domestic market, no permanent roaming"
BRACS,Brazil,Tim Brazil,0,1.0,False,Access fee,Access fee
BRATM,Brazil,Oi,0,1.0,False,no permanent roaming,no permanent roaming
BRATC,Brazil,VIVO,0,1.0,False,no permanent roaming,no permanent roaming (permanent roaming restriction lifted in 2023)
BRASP,Brazil,Tim Brazil,0,1.0,False,Access fee,Access fee
BRARN,Brazil,Tim Brazil,0,1.0,False,Access fee,Access fee
BRAV3,Brazil,VIVO,0,1.0,False,no permanent roaming,no permanent roaming (permanent roaming restriction lifted in 2023)
BRAV2,Brazil,VIVO,0,1.0,False,no permanent roaming,no permanent roaming (permanent roaming restriction lifted in 2023)
BRAV1,Brazil,VIVO,0,1.0,False,no permanent roaming,no permanent roaming (permanent roaming restriction lifted in 2023)
VGBCW,British Virgin Islands,Cable & Wireless,0,0.1,False,,
VGBCC,British Virgin Islands,CCT Global Communications,0,0.1,False,,
BRNDS,Brunei Darussalam,DSTCom,0,0.1,False,,
BGR01,Bulgaria,M-Tel Gsm,0,0.01,False,,
BGRCM,Bulgaria,Globul,0,0.006,False,,
BGRVA,Bulgaria,Vivacom,0,0.01,False,,
BFATL,Burkina Faso,Telecel,0,0.0,False,data not launched,data not launched
BFAON,Burkina Faso,Onatel,0,0.0,False,,
BFACT,Burkina Faso,Orange,0,30.0,False,,
BDIL1,Burundi,Smart,0,0.2,False,,
BDIET,Burundi,Econet LEO S.A,0,0.0,False,data not launched,data not launched
BDITL,Burundi,U-COM,0,0.2,False,,
